,sentences,entities
0,The donor of DA04442 has Type 2 Diabetes Mellitus.,[]
1,The Epstein-Barr virus EBV transformed DA04442.,[]
2,The donor of SKG-3b has Squamous cell carcinoma of the cervix uteri.,[]
3,DA04442 is sourced from blood.,[]
4,"A patient of Diabetes, Type 2 contributed to DA04442.",[]
5,TE 175.T was derived from lymph node.,[]
6,The Epstein-Barr virus EBV transformed DA04442.,[]
7,The Transformed cell line includes DA04442.,[]
8,The Rhesus macaque polyomavirus transformed GM16093.,[]
9,DA04442 cell line belongs to the category of Transformed cell line.,[]
10,The Human herpesvirus type 4 transformed DA04442.,[]
11,GM07209 is a type of Finite cell line.,[]
12,blood is the origin of the GM17735.,[]
13,The Epstein Barr virus transformed GM17735.,[]
14,RSOI is sourced from skin organ.,[]
15,The human gammaherpesvirus 4 transformed GM17735.,[]
16,blood is the origin of the GM17735.,[]
17,The Macaca mulatta polyomavirus 1 transformed SVOG-3e.,[]
18,The Transformed cell line includes GM17735.,[]
19,portion of blood is the origin of the GM17735.,[]
20,H1648 is a type of Cancer cell line.,"[Span[0:1]: ""H1648"" → CellLine (1.0000), Span[5:8]: ""Cancer cell line"" → CellLine (0.9999)]"
21,The donor of DA04195 has Type II diabetes.,[]
22,Human herpesvirus type 4 is the transformant in the DA04195 cell line.,[]
23,The donor of FIB-PSE3 has Pseudoxanthoma Elasticum.,[]
24,DA04195 is sourced from blood.,[]
25,The Epstein-Barr virus EBV transformed DA04195.,[]
26,AG19641 is sourced from zone of skin of pelvis.,[]
27,The DA04195 cell line contains human gammaherpesvirus 4 as a transformant.,[]
28,DA04195 cell line belongs to the category of Transformed cell line.,[]
29,The Human papillomavirus - 16 transformed SKG-3b.,[]
30,DA04195 cell line belongs to the category of Transformed cell line.,[]
31,portion of blood is the origin of the DA04195.,[]
32,GM04220 cell line belongs to the category of Finite cell line.,[]
33,A patient of Manic Bipolar Affective Disorder contributed to GM07783.,[]
34,The Epstein-Barr virus transformed GM07783.,[]
35,The donor of HQ00481 has Huntington disease.,[]
36,GM07783 is sourced from vertebrate blood.,[]
37,The donor of GM07783 has Manic Bipolar Affective Disorder.,[]
38,uterine cervix is the origin of the  SKG3B.,[]
39,The Human herpesvirus type 4 transformed GM07783.,[]
40,GM07783 was derived from portion of blood.,[]
41,The D98/AH2 Clone B cell line contains human papillomavirus 18 as a transformant.,"[Span[1:4]: ""D98/AH2"" → CellLine (0.9374)]"
42,GM07783 is a type of Transformed cell line.,[]
43,GM07783 comes from a patient with Manic Bipolar Affective Disorder.,[]
44,SKN-AS cell line belongs to the category of Cancer cell line.,"[Span[0:1]: ""SKN-AS"" → CellLine (1.0000), Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]"
45,GM05748 comes from a patient with Farber Lipogranulomatosis.,[]
46,GM05748 cell line belongs to the category of Transformed cell line.,[]
47,A patient of Familial dysautonomia contributed to GM16184.,[]
48,The donor of GM05748 has Farber disease.,[]
49,GM05748 is sourced from blood.,[]
50," LNZ-308 comes from a patient with Astrocytoma, NOS.",[]
51,GM05748 is sourced from blood.,[]
52,A patient of Farber Lipogranulomatosis contributed to GM05748.,[]
53,skin of arm is the origin of the XP13CA.,[]
54,The Human herpesvirus 4 transformed GM05748.,[]
55,A patient of Farber disease contributed to GM05748.,[]
56,The KB-CP20 cell line contains Human papilloma virus type 18 as a transformant.,"[Span[1:2]: ""KB-CP20"" → CellLine (0.9999)]"
57,The Transformed cell line includes GM05748.,[]
58,The GM05748 cell line contains Human herpesvirus type 4 as a transformant.,[]
59,The Cancer cell line includes  H-417.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:6]: ""H-417"" → CellLine (1.0000)]"
60,A patient of Morbid Obesity contributed to GM14280.,[]
61,The Epstein Barr virus transformed GM14280.,[]
62,RMUG-S comes from a patient with Ovarian Mucinous Cystadenocarcinoma.,[]
63,GM14280 was derived from blood.,[]
64,Human herpesvirus 4 is the transformant in the GM14280 cell line.,[]
65,pleural effusion is the origin of the KHM1B.,[]
66,Human herpesvirus 4 (Epstein-Barr virus) is the transformant in the GM14280 cell line.,[]
67,GM14280 comes from a patient with Morbid Obesity.,[]
68,human papillomavirus type 16 HPV 16 is the transformant in the SKG-IIIb cell line.,"[Span[11:12]: ""SKG-IIIb"" → CellLine (0.9998)]"
69,GM14280 is a type of Transformed cell line.,[]
70,The Human herpesvirus type 4 transformed GM14280.,[]
71,The Cancer cell line includes NCI-H60.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:6]: ""NCI-H60"" → CellLine (1.0000)]"
72,A patient of Hypomanic Mood contributed to GM07209.,[]
73,fibroblast is the cell type for GM07209.,[]
74,A patient of Bernard-Soulier syndrome contributed to GM10552.,[]
75,fibroblast is the cell type for GM07209.,[]
76,GM07209 is a type of Finite cell line.,[]
77, GM1631 is skin fibroblast.,[]
78,GM07209 cell line belongs to the category of Finite cell line.,[]
79,GM07209 comes from a patient with Hypomania.,[]
80,GM19173 is a type of Transformed cell line.,[]
81,A patient of Other Prostate Carcinoma contributed to  AI-LNCaP.,[]
82,left supraclavicular lymph node is the origin of the  AI-LNCaP.,[]
83,A patient of Type 2 Diabetes Mellitus contributed to DA01611.,[]
84, AI-LNCaP is sourced from left supraclavicular lymph node.,[]
85, Androgen-Independent LNCaP comes from a patient with Cancer of Prostate.,[]
86,portion of blood is the origin of the GM05348.,[]
